Tech,Band,F(MHz),Band Name,Uplink Low (MHz),Uplink High (MHz),Downlink Low (MHz),Downlink High (MHz)
2G,1,380,T-GSM-380,380.2,389.8,390.2,399.8
2G,2,410,T-GSM-410,410.2,419.8,420.2,429.8
2G,3,450,GSM-450,450.6,457.6,460.6,467.6
2G,4,480,GSM-480,479,486,489,496
2G,5,710,GSM-710,698.2,716.2,728.2,746.2
2G,6,750,GSM-750,777.2,792.2,747.2,762.2
2G,7,810,T-GSM-810,806.2,821.2,851.2,866.2
2G,8,850,GSM-850,824.2,848.8,869.2,893.8
2G,9,900,P-GSM-900,890,915,935,960
2G,10,900,E-GSM-900,880,915,925,960
2G,11,900,R-GSM-900,876,915,921,960
2G,12,900,T-GSM-900,870.4,876,915.4,921
2G,13,1800,DCS-1800,1710.2,1784.8,1805.2,1879.8
2G,14,1900,PCS-1900,1850.2,1909.8,1930.2,1989.8
2G,15,900,ER-GSM 900,873.2,914.8,918.2,959.8
3G,1,2100,IMT,1920,1980,2110,2170
3G,2,1900,PCS,1850,1910,1930,1990
3G,3,1800,DCS,1710,1785,1805,1880
3G,4,1700,AWS-1,1710,1755,2110,2155
3G,5,850,CLR,824,849,869,894
3G,6,800,UMTS 800,830,840,875,885
3G,7,2600,IMT-E,2500,2570,2620,2690
3G,8,900,E-GSM,880,915,925,960
3G,9,1700,UMTS 1700,1749.9,1784.9,1844.9,1879.9
3G,10,1700,Extended AWS,1710,1770,2110,2170
3G,11,1500,Lower PDC,1427.9,1447.9,1475.9,1495.9
3G,12,700,Lower SMH,699,716,729,746
3G,13,700,Upper SMH block C,777,787,746,756
3G,14,700,Upper SMH block D,788,798,758,768
3G,19,800,Upper 800 Japan,830,845,875,890
3G,20,800,Digital Dividend EU,832,862,791,821
3G,21,1500,Upper PDC,1447.9,1462.9,1495.9,1510.9
3G,22,3500,C-Band,3410,3490,3510,3590
3G,25,1900,Extended PCS,1850,1915,1930,1995
3G,26,850,Extended CLR,814,849,859,894
3G,32,1500,L-band EU,,,1452,1496
4G,B1,2100,IMT,1920 ,1980,2110 ,2170
4G,B2,1900,PCS,1850 ,1910,1930 ,1990
4G,B3,1800,DCS,1710 ,1785,1805 ,1880
4G,B4,1700,AWS‑1,1710 ,1755,2110 ,2155
4G,B5,850,Cellular,824 ,849,869 ,894
4G,B6,800,UMTS 800,830 ,840,875 ,885
4G,B7,2600,IMT-E,2500 ,2570,2620 ,2690
4G,B8,900,Extended GSM,880 ,915,925 ,960
4G,B9,1800,UMTS 1700,1749.9 ,1784.9,1844.9 ,1879.9
4G,B10,1700,Extended AWS,1710 ,1770,2110 ,2170
4G,B11,1500,Lower PDC,1427.9 ,1447.9,1475.9 ,1495.9
4G,B12,700,Lower SMH,699 ,716,729 ,746
4G,B13,700,Upper SMH block C,777 ,787,746 ,756
4G,B14,700,Upper SMH block D,788 ,798,758 ,768
4G,B17,700,Lower SMH,704 ,716,734 ,746
4G,B18,850,Lower 800 Japan,815 ,830,860 ,875
4G,B19,850,Upper 800 Japan,830 ,845,875 ,890
4G,B20,800,Digital Dividend EU,832 ,862,791 ,821
4G,B21,1500,Upper PDC,1447.9 ,1462.9,1495.9 ,1510.9
4G,B22,3500,C-Band,3410 ,3500,3510 ,3600
4G,B23,2000,AWS-4,2000 ,2020,2180 ,2200
4G,B24,1600,Upper L‑Band,1626.5 ,1660.5,1525 ,1559
4G,B25,1900,Extended PCS,1850 ,1915,1930 ,1995
4G,B26,850,Extended Cellular,814 ,849,859 ,894
4G,B27,800,SMR,807 ,824,852 ,869
4G,B28,700,APT,703 ,748,758 ,803
4G,B29,700,Lower SMH,,,717 ,728
4G,B30,2300,WCS,2305 ,2315,2350 ,2360
4G,B31,450,NMT,452.5 ,457.5,462.5 ,467.5
4G,B32,1500,L‑Band,,,1452 ,1496
4G,B33,1900,IMT,1900 ,1920,1900 ,1920
4G,B34,2000,IMT,2010 ,2025,2010 ,2025
4G,B35,1900,PCS,1850 ,1910,1850 ,1910
4G,B36,1900,PCS,1930 ,1990,1930 ,1990
4G,B37,1900,PCS,1910 ,1930,1910 ,1930
4G,B38,2600,IMT-E,2570 ,2620,2570 ,2620
4G,B39,1900,DCS–IMT Gap,1880 ,1920,1880 ,1920
4G,B40,2300,S-Band,2300 ,2400,2300 ,2400
4G,B41,2500,BRS,2496 ,2690,2496 ,2690
4G,B42,3500,CBRS,3400 ,3600,3400 ,3600
4G,B43,3700,C-Band,3600 ,3800,3600 ,3800
4G,B44,700,APT,703 ,803,703 ,803
