Country,Tech,Band,F(MHz),Latitude,Longitude
Albania,2G,DCS,1800,41.153332,20.168331
Albania,2G,E-GSM,900,41.153332,20.168331
Albania,3G,B1 ,2100,41.153332,20.168331
Albania,4G,B3 ,1800,41.153332,20.168331
Albania,4G,B7 ,2600,41.153332,20.168331
Algeria,2G,DCS,1800,28.033886,1.659626
Algeria,2G,E-GSM,900,28.033886,1.659626
Algeria,3G,B1 ,2100,28.033886,1.659626
Algeria,4G,B3 ,1800,28.033886,1.659626
Algeria,4G,B2 ,1900,28.033886,1.659626
Algeria,4G,B1 ,2100,28.033886,1.659626
Algeria,4G,B7 ,2600,28.033886,1.659626
Algeria,4G,B8 ,900,28.033886,1.659626
Algeria,4G,B40 ,2300,28.033886,1.659626
Angola,2G,DCS,1800,-11.202692,17.873887
Angola,2G,E-GSM,900,-11.202692,17.873887
Angola,3G,B1 ,2100,-11.202692,17.873887
Angola,4G,B3 ,1800,-11.202692,17.873887
Argentina,2G,GSM,850,-38.416097,-63.616672
Argentina,2G,PCS,1900,-38.416097,-63.616672
Argentina,3G,B2 ,1900,-38.416097,-63.616672
Argentina,3G,B5 ,850,-38.416097,-63.616672
Argentina,4G,B4 ,1700/2100,-38.416097,-63.616672
Argentina,4G,B2 ,1900,-38.416097,-63.616672
Argentina,4G,B1 ,2100,-38.416097,-63.616672
Argentina,4G,B7 ,2600,-38.416097,-63.616672
Argentina,4G,B28 ,700,-38.416097,-63.616672
Argentina,4G,B26 ,850,-38.416097,-63.616672
Argentina,5G,N40 ,2300,-38.416097,-63.616672
Argentina,5G,N7 ,2600,-38.416097,-63.616672
Argentina,5G,N77 ,3700,-38.416097,-63.616672
Armenia,2G,DCS,1800,40.069099,45.038189
Armenia,2G,E-GSM,900,40.069099,45.038189
Armenia,3G,B1 ,2100,40.069099,45.038189
Armenia,3G,B8 ,900,40.069099,45.038189
Armenia,4G,B3 ,1800,40.069099,45.038189
Armenia,4G,B7 ,2600,40.069099,45.038189
Armenia,4G,B20 ,800,40.069099,45.038189
